musica,letras
Empire Of The Clouds,"To ride the storm to an empire of the clouds To ride the storm they climbed Aboard their silver ghost To ride the storm to a kingdom that will come To ride the storm and damn the rest Oblivion Royalty and dignitaries,  Brandy and cigars Grey lady giant of the skies You hold them in your arms The millionth chance, they laughed To take down his  Majesty’s craft"" To  India"", they say, "" Magic carpet float away"" An  October fateful day Mist is in the trees Stone sweats with the dew The morning sunrise, red before the blue Hanging at the mast, waiting for command His  Majesty’s airship, the R101 She’s the biggest vessel built by manA giant of the skies For all you unbelievers, the  Titanic fits inside Drum roll, tight her canvas skin, silvered in the sun Never tested with the fury, with the beating yet to come The fury yet to come In the gathering gloom The storm rising in the west The coxswain stared Into the plunging weather glass We must go now We must take our chance with fate We must go now For a politician, he can’t be late The airship crew awake for thirty hours at full stretch But the ship is in their backbone Every sinew, every inch She never flew at full speed, a trial never done Her fragile outer cover her  Achilles would become An  Achilles yet to come Sailors of the sky, a hardened breed Loyal to the king and an airship creed The engines drum, the telegraph sounds Release the cords that bind us to the ground Said the coxswain:“ Sir, she’s heavy, she’ll never make this flight“ Said the captain:“ Damn the cargo, we’ll be on our way tonight“ Groundlings cheered in wonder As she backed off from the mast Baptizing them her water from the ballast fore and aft Now, she slips into our past Fighting the wind as it rolls you Feeling the diesels that push you along Watching the channel below you Lower and lower into the night Lights are passing below you Northern  France asleep in their beds Storm is raging around you""A million to one"", that’s what he said Reaper standing beside her With his scythe, cuts to the bone Panic to make a decision Experienced men asleep in their graves Her cover is ripped and she’s drowning Rain is flooding into the hull Bleeding to death and she’s falling Lifting gas is draining away “ We’re down lads“, came the cry Bow plunging from the sky Three thousand horses silent as the ship began to die The flares to guide her path, ignited at the last The empire of the clouds Just ashes in our past, just ashes at the last Here lie their dreams as I stand in the sun On the ground where they built and the engines did run To the moon and the stars Now, what have we done? Oh, the dreamers may die, but the dreams live on Dreams live on, dreams live on Now a shadow on a hill The angel of the east The empire of the clouds May rest in peace And in a country churchyard Laid head to the mast Eight and forty souls Who came to die in  France"
Satellite 15... The Final Frontier,"I try to call the  Earth's command Desperation in my voiceI'm drifting way off course now With very little choice The loneliness is hard to bearI try to calm my fear Just hoping any second now Some contact filters through Desperate calls... Signal back from  Satellite As my life flashes right infront of me Try again...must get through Hear me now... For I've very little time Not much time...hear my call Please get through...I am here I'm stranded in space, I'm lost without traceI haven't this chance of getting away Too close to the sun and surely will burn Like  Icarus before me or so legend goes I think my life, reliving my past There's nothing but wait til' my time comesI've had a good life, I'd do it again Maybe I'll come back some time afresh For I have lived my life to the full, I have no regrets But I wish I could talk to my family to tell them one last goodbye The final frontier, the final frontier!! The final frontier, the final frontier!! If I could survive to live one more time, I wouldn't be changing a thing at all Done more in my life than some do in ten - I'd go back and do it all over again For I have lived my life to the full, I have no regrets But I wish I could talk to my family and tell them that one last goodbye The final frontier, the final frontier!! The final frontier, the final frontier!! Solo ( Smith/ Murray) There isn't much time, must say my last rites -  Nobody is here to read them to me Must say my goodbyes, if only a line - A message to tell them in case they might find... For I have lived my life to the full, I have no regrets But I wish I could talk to my family to tell them that one last goodbye The final frontier, the final frontier!! The final frontier, the final frontier!! The final frontier, the final frontier!! The final frontier, the final frontier!! Ah, ah!  The final frontier, the final frontier!! The final frontier, the final frontier!!"
El Dorado,"Gotta to tell you a story On a cold winter's night You'll be sailing for glory Before you know what is right So come over here nowI got a vision for you It's my personal snake oil It's just something I doI'm the jester with no tears And I'm playing on your fearsI'm a trickster smiling underneath this mask of love and death The eternal lie I've told About the pyramids of goldI've got you hooked at every turn, your money's left to burn Ha ha ha ha ha ha ha! You'll be wanting a contract You'll be waiting a whileI'd like to give you my contact But that isn't my style Well you only get one chance And it's too good to miss If I didn't lie to you Then I wouldn't exist Greed lust and envy pride It's same old same old ride The smoke and mirrors visions that you see Are just like meI'm a clever banker's face With just a letter out of placeI know someone just like you know someone just like me El  Dorado, come and play El  Dorado, step this way Take a ticket for the ride El  Dorado streets of gold See my ship is oversold You've got one last chance to try So gone is the glory And gone is the gold Well if you knew a storyhow come it has to be told Well you can say I'm a devil And I wouldn't say no But out here on the dark side Hey, on with the show So now my tale is told Big and bad and twice as bold This ship of fools is sinking as the cracks begin to grow There is no easy way For an honest man today Which is something you should think on As my life boat sails away El  Dorado, come and play El  Dorado, step this way Take a ticket for the ride El  Dorado, of streets of gold See my ship is oversold You've got one last chance to try El  Dorado, come and play El  Dorado, step this way Take a ticket for the ride El  Dorado of streets of gold See my ship is oversold You've got one last chance to try"
Mother Of Mercy,"Sitting waiting in the falling rain Getting ready to begin again Wounded lying crying Bodies moving dying All around there is the smell Of death and fire Here the planes are coming Hear the soldiers running Killing on a scale to comprehend Why are we here In this place...here to kill Please  God forgive us For what we have done I always thought I was doing right As of now I'm not feeling so sure I'm at a place of whereI give no graceI'm a soldier of war I sit waiting for my darkest hour to comeI cannot think about the things that I have done It shouldn't take a fool to see that I believe Accept the consequence, repent for what I've done You tell me what is certain But I'll tell you what is true You tell me what is honesty When all around is death and cruelty The making of a man is fire Not giving into our desires Within the truth that lies Within the only thing Mother of mercy Angel of death desire Mother of mercy Taking my last breath of fire Mother of mercy Angel of pain Mother of mercy Taking my last breath Some say you are a lost cause Some say you're a saint Just being here's an act Of suffering and restraint Walk down the long dark road To ruin and panic notI'll die a lonely death Of that I'm certain of Rivers flow with blood There's nowhere left to hide It's hard to comprehend There's anyone left alive Sick of all the killing And the reek of death Will  God tell me What religion is to man I don't hold with bad religion Understand what's underneath it Now I come to think of itI just don't hold at all you know it You say you are a holy man But what is it you do From where I stand is nothing But a hollow man I see Mother of mercy Angel of death desire Mother of mercy Taking my last breath of fire Mother of mercy Angel of pain Mother of mercy Taking my last breath Mother of mercy Angel of death desire Mother of mercy Taking my last breath, of fire Mother of mercy Angel of pain Mother of mercy Drawing my last breath I'm just a lonely soldier fighting In a bloody hopeless war Don't know what I'm fighting Who it is or what I'm fighting for Thought it was for money Make my fortune, now I'm not so sure Seem to just have lost my way"
Coming Home,"When I stand before you shining in the early morning sun When I feel the engines roar and I think of what we've done Oh, the bittersweet reflection as we kiss the earth goodbye As the waves and echoes of the towns become the ghosts of time Over borders that divide the earthbound tribes No creed and no religion just a hundred winged souls We will ride this thunderbird, silver shadows on the earthA thousand leagues away, our land of birth To  Albion's land Coming home when I see the runway lights In the misty dawn the night is fading fast Coming home, far away as their vapor trails align Where I've been tonight, you know I will not stay Curving on the edge of daylight til it slips into the void Waited in the long night, dreaming til the sun is born again Stretched the fingers of my hand, covered countries with my span Just a lonely satellite, speck of dust and cosmic sand Over borders that divide the earthbound tribes Through the dark atlantic; over mounting stormy waves We will ride this thunderbird, silver shadows on the earthA thousand leagues away, our land of birth To  Albion's land Coming home when I see the runway lights In the misty dawn the night is fading fast Coming home, far away as their vapor trails align Where I've been tonight, you know I will not stay To  Albion's land Coming home when I see the runway lights In the misty dawn the night is fading fast Coming home, far away as their vapor trails align Where I've been tonight, you know I will not stay Coming home, far away when I see the runway lights In the misty dawn the night is fading fast Coming home, far away as their vapor trails align Where I've been tonight, you know I will not stay"
The Alchemist,"Stranger than the comet as it streaks across the sky Stranger than the truth I know before my open eyesI have dealt in mysteries and trickery, of light to entertain Looked into the abyss, called it by its name I have plundered time itself, put the world inside it And the mysteries, day and night, divide itA plague of wonders, on your knees beside me Know the secrets, you shall not deride us My dreams of empire from my frozen queen Will come to pass Know me, the  Magus I am  Dr.  Dee And this is my house I am the master of the tidesI shame the mirror in my sight What random music of the spheres Across the years Know thisI will return to this land Rebuild where the ruins did stand Chain of the demons set free Strange alchemy Gather round the aimless and the feckless and the lame Hear the master summon up the spirits by their namesI curse you  Edward  Kelly your betrayal for eternity is damned Know you speak with demons, you cannot command Even as I looked into the glass then I was blinded Burning by the  Mortlake shore my house my books inside it You have taken up my wife and lain beside her Now the black rain on my house, the timbers burning My dreams of empire from my frozen queen Will come to pass Know me, the  Magus I am  Dr.  Dee And this was my house I was the keeper of the booksI had the knowledge of the scrolls But now through ignorance and fearI cast a shadow through the years Know thisI will return to this land Rebuild where the ruins did stand Chain of the demons set free Strange alchemy Know thisI will return to this land Rebuild where the ruins did stand Chain of the demons set free Strange alchemy Know thisI will return to this land Rebuild where the ruins did stand Restore the knowledge memory Strange alchemy"
Isle Of Avalon,"I can hear them floating on the wind Immortal souls their weeping saddens me Mother earth you know your time is near Awaken lust the seed is sown and reaped Through the western isle I hear the dead awaken Rising slowly to the court of  Avalon The cauldron of the head of  Annwyn laced with envy Dark around its edge with pearl and destiny All my days I've waited for the sign The one that brings me closer to isle of  AvalonI can feel the power flowing through my veins My heart is beating louder, close to  Avalon I can hear you, can you hear me?I can feel you, can't you feel me? Fertility  Mother  Goddess Celebration, sow the seeds of the born The fruit of her body laden Through the corn doll You will pray for them all The image of  Mother  Goddess Lying dormant, in the eyes of the dead The sheaf of the corn is broken End the harvest Throw the dead of the pyre I hear her crying the tears of an angel The voices I hear in my head Blessed the fruits are the corn of the earth Mother earth holy blood of the dead [guitar solo] Mother earth I can hear you Sacrifice, now united Rising levels of the tidal lakes protect them Keepers of the goddess in the underworld Holding powers of the mystics, deep inside themnineteen maidens, guardians of the otherworld Mortal conflict born of  Celtic legend That apart from seven, non-returned from  Avalon Mother earth I can feel you My rebirth now completed Fertility mother goddess Celebration, sow the seeds of the born The fruits of her body laden Through the corn doll You will pray for them all The image of mother goddess Lying dormant, in the eyes of the dead The sheaf of the corn is broken End the harvest, throw the dead on the pyre To have the belief of others Looking for the  Isle to Show them a sign Fertility of all mothers Stood in silence Waiting now for their turn The gateway to  Avalon The island where the souls Of dead are reborn Brought here to die and be Transferred into the earth And then for rebirth I hear her crying the tears of an  Angel The voices I hear in my head Blessed the fruits are the corn of the earth Mother earth holy blood of the dead The water in rivers and rhymes rises quickly Are flowing and flooding the land The sea shall return once again just to hide them Lost souls on the  Isle of the dead"
Starblind,"Take my eyes the things I've seen In this world coming to an end My reflection fades, I'm weary Of these earthly bones and skin You may pass through me and Leave no trace I have No mortal face Solar winds are whispering You may hear me call We can shed our skins and swim Into the darkened void beyond We will dance among the world That orbit stars that aren't our sun All the oxygen that trapped us inA carbon spider's web Solar winds are whispering you May hear the sirens of the dead Let the elders to their parley Meant to satisfy our lust Leaving damacles still hanging Over all their promised trust Walk away from freedoms offered By the jailors in their cage Step into the light startripping Over mortals in their rage Starblind with sun the Stars are one We are the light that brings The end of night Starblind with sun the Stars are one We are with the goddess Of the sun tonight The preacher loses face With christ Religion's cruel device is gone Empty flesh and hollow bones Make pacts of love but die alone The crucible of pain will forge the Blanks of sin begin again You are free to choose a life to live Or one that's left to lose Virgins in the teeth of god are Meat and drink to feed the damned You may pass through me and  I Will feel the life that you live less Step into my light startripping We will rage against the night Walk away from comfort offered By your citizens of death Starblind with sun the The stars are one We are the light that brings The end of night Starblind with sun the Stars are one We're one with the goddess Of the sun tonight Take my eyes for what I've seenI will give my sight to you You are free to choose whatever Life to live or life to lose Whatever god you know He knows you better than you Believe In your once and future grave You'll fall endlessly deceived Look into our face reflected in the Moonglow in your eyes Remember you can choose To look but not to see and Waste your hours You believe you have the time But I tell you your time is short See your past and future all the Same and it cannot be bought Starblind with sun the Stars are one We are the light that brings The end of night Starblind with sun the Stars are one We're one with the goddess Of the sun tonight Take my eyes for what I've seenI will give my sight to you You are free to choose whatever Life to live or life to lose Whatever god you know He knows you better than you Believe In your once and future grave You'll fall endlessly deceived The preacher loses face With christ Religion's cruel device is gone Empty flesh and hollow bones Make pacts of love but die alone The crucible of pain will forge the Blanks of sin begin again You are free to choose a life to live Or one that's left to lose"
The Talisman,"When I stand and look About the port And contemplate my life, will  I Ever see my countrymen again? As the captain calls us on the deckI take my things and walk To the harbourside, I glance back One last time Fleeing our nation, our problems We leave behind Ships by the tenfold sail Out on the tide We are pleased to be out and Embracing the open sea Free from our troubles And more free from thee Inheritors unfulfilled reason Behind us We flee from what is not what Is will be We flee the earth and face our Harsh reality Will death be low mist that Hangs on the sea? We run from the evil tongues, rash Judgements, selfish men Never to be seen on these Shores again As we sail into oceansize And lose sight of all landA face of contentment Around in the air We're off now to Seek all our fortunes To the land of our dreams Riding the waves and the storm Is upon us The winds lash the sails but The ropes keep them tight Off in the distance a dark cloud Approaching None could imagine what there Was to come No, there's no one going back No, there's not a second chance As we strap onto the side We pray to  God that we don't die As we ride the rough seas As we soak from the ocean wavesI just hope for all our lives And pray that I survive Four ships are lost in the Stormy conditions The spirits of the sunken crews Their phantoms follow us Spirits, sails, they drive us on Through the all consuming waves Cold mortality, no weapon Against these ever raging seas Four leagues and ten and we Hit storms again We just can't get away from The eye of the storm The birds outsoar the raging storm But we cannot escape it Abandoned earth that we Now crave Is many leagues from safe Holding on for our dear lives And we're praying once again Rotten luck or just jonahed? The talisman is in my hand Limbs fatigues, trembling with cold Blinded from the sea spray salt Clasping anything we can hold Heaven's rain upon us falls Twenty days without a meal And ten without fresh water still Those that didn't die in storms The scurvy rest did slaughter Westwards the tide Westwards we sail on Westwards the tide Sail by the talisman We approach the other side Of the ocean with the tide In our favour just for once Welcome greeting, our new land The elation in our hearts The excitement in our veins As we sail towards the coastline Of our golden promised land Weary limbs fatigued awayI have no life left in me No more strength and nothing Left to give Must find the will to live Never thought that we could Make it Truly sight of shores divine The sickness I am dying from Never wanted it to end this way Westwards the tide Westwards we sail on Westwards the tide Sail by the talisman"
The Man Who Would be King,"As he travels on the beast of burden Moving up along the mountainside As he gazes looking down the valley No regrets but his pride As he journeys across mountain passes And significant sweeps over him His reflection of the beauty around him Feeling empty inside He is running from his wildest thoughts He is running from his everything He is looking now to find something Hoping he can be saved He's searching for the answer now It's something that he's managed to avoid up 'till now Real conviction that he craves He needs to find the answer sooner or later Pushed himself to the limits He had to strive for all the harder things in life But what the cost to giving now His life his, time are the only things that he has Life is not a rehearsal All he has is the one chance to get it right Living really is the only way to know Maybe one day they'll forgive him what he's done But now the pain of lying too early in the grave Destiny no good to hide away Penance now will be his only way Understand, no good to run away Penance now, we'll be his saving grace He tries to make his peace with  God All is forgivable but he's left a little late Trying something that he's not Is impossible to change such a lot He's taken someone's life away There's not a day that goes by, he regrets what he's done He should have found another way But the good book says an eye for an eye In reflecting on decisions that were made On the judgements that will haunt him 'till his grave No one has the right to take another life But in his mind he had no choice, so be it Destiny, no good to hide away Penance now, will be his only way Understand, no good to run away Penance now, we'll be his saving grace Destiny, no good to hide away Penance now, will be his only way Understand, no good to run away Penance now, we'll be his saving grace Far, far away The man who would be king Far, far away The man who would be king So far way The man who would be king So far way The man who would be king Far, far away The man who would be king"
When The Wild Wind Blows,"Have you heard what they said on the news today Have you heard what is coming to us all? That the world as we know it will be coming to an end Have you heard, have you heard? He sees them in the distance where the darkened clouds roll He can feel tension in the atmosphere He would look in the mirror, see an old man now Doesn't matter they survived somehow They said there's nothing can be done about the situation They said there's nothing you can do at all To sit and wait around for something to occur Did you know, did you know? As he stares across the garden looking at the meadows And wonders if they'll ever grow again The desperation of the situation getting graver Getting ready when the wild wind blows Have you seen what they said on the news today Have you heard what they said about us all Do you know what is happening to just every one of us? Have you heard, have you heard? There will be a catastrophe that like we've never seen There will be something that will light the sky That the world as we know it, it will never be the same Did you know, did you know? He carries everything into the shelter, not a fuss Getting ready when the moment comes He has enough supplies to last them for a year or two Good to have because you never know They tell us nothing that we don't already know about They tell us nothing that is real at all They only fill us with the stuff that they want Did you know, did you know? He's nearly finished with the preparations for the day He's getting tired; that'll do for now They are preparing for the very worst to come to them Getting ready when the wild wind blows He sees the picture on the wall, it's falling down Upside down He sees a teardrop from his wife roll down her face, Saying ""grace"" Remember times they had, they flash right through his mind Left behind And a lifetime spent together long ago Will be gone They've been preparing for some weeks now For when the crucial moment comes To take their refuge in the shelter Let them prepare for what will come They make a tea and sit there waiting They're in the shelter feeling snug Not long to wait for absolution Don't make a fuss; just sit and wait Can't believe all the lying, All the screens are denying That the moments of truth have begun Can't you see it on the t.v.? Don't believe them in the least bit Now the days of our ending have begun Say a prayer when it's all over Survivors unite all as one Got to try and help each other Got the will to overcome I can't believe all the lying, All the screens are denying That the moments of truth have begun Can't you see it on the t.v.? Don't believe them in the least bit Now the days of our ending have begun When they found them, had their arms wrapped around each other The tins of poison laying nearby their clothes The day they both mistook an earthquake for the fall out, Just another when the wild wind blows..."
